country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",14-12-2025 23:00,28.699793,77.165453,CO,105,139,116
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",14-12-2025 23:00,23.107969,72.574648,NO2,16,142,62
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",14-12-2025 23:00,22.977134,72.553024,NH3,5,43,17
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",14-12-2025 23:00,22.977134,72.553024,CO,27,120,71
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",14-12-2025 23:00,23.020509,72.579261,PM2.5,74,171,113
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",14-12-2025 23:00,23.020509,72.579261,NH3,12,28,17
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",14-12-2025 23:00,23.020509,72.579261,CO,7,80,30
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",14-12-2025 23:00,28.530785,77.271255,NH3,27,40,33
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",14-12-2025 23:00,28.623763,77.287209,SO2,3,13,8
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",14-12-2025 23:00,28.623763,77.287209,CO,37,158,92
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14-12-2025 23:00,28.674045,77.131023,PM2.5,435,500,477
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",14-12-2025 23:00,28.674045,77.131023,CO,24,107,82
India,Delhi,Delhi,"Pusa, Delhi - DPCC",14-12-2025 23:00,28.639652,77.146275,PM2.5,361,500,450
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",14-12-2025 23:00,28.611281,77.237738,NH3,29,34,31
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",14-12-2025 23:00,28.611281,77.237738,OZONE,1,129,33
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",14-12-2025 23:00,28.636429,77.201067,PM2.5,380,468,422
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",14-12-2025 23:00,28.636429,77.201067,NO2,58,122,87
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",14-12-2025 23:00,28.60909,77.0325413,NH3,15,37,22
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",14-12-2025 23:00,28.710508,77.249485,NH3,10,16,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",14-12-2025 23:00,28.710508,77.249485,CO,114,192,123
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",14-12-2025 23:00,28.531346,77.190156,NO2,11,79,29
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",14-12-2025 23:00,28.672342,77.31526,NH3,14,21,17
India,Delhi,Delhi,"Pusa, Delhi - IMD",14-12-2025 23:00,28.63611,77.173332,OZONE,31,58,37
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",14-12-2025 23:00,28.6514781,77.1473105,PM10,264,500,364
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",14-12-2025 23:00,28.6514781,77.1473105,CO,50,113,91
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",14-12-2025 23:00,29.8006,76.4155,SO2,27,34,31
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",14-12-2025 23:00,29.8006,76.4155,CO,5,119,61
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",14-12-2025 23:00,29.966942,76.875879,PM10,104,243,167
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",14-12-2025 23:00,29.966942,76.875879,NO2,16,20,18
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",14-12-2025 23:00,27.9002,76.9938,PM10,147,213,177
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",14-12-2025 23:00,27.9002,76.9938,CO,44,90,74
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",14-12-2025 23:00,27.9002,76.9938,OZONE,22,31,28
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",14-12-2025 23:00,28.39072,77.30059,NH3,11,12,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",14-12-2025 23:00,28.4417,77.3217,PM2.5,78,125,94
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",14-12-2025 23:00,28.4417,77.3217,PM10,93,122,106
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",14-12-2025 23:00,28.4417,77.3217,NH3,11,12,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",14-12-2025 23:00,29.503664,75.467934,NO2,18,20,19
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",14-12-2025 23:00,28.422681,77.148944,CO,58,97,63
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",14-12-2025 23:00,22.969611,72.6435,OZONE,13,46,26
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",14-12-2025 23:00,28.6701,76.9254,SO2,7,7,7
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",14-12-2025 23:00,28.3419248,77.319699,PM10,186,317,241
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",14-12-2025 23:00,28.3419248,77.319699,NO2,19,21,20
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",14-12-2025 23:00,28.060249,76.113115,CO,6,56,23
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",14-12-2025 23:00,28.1485564,77.3320667,PM10,132,168,150
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",14-12-2025 23:00,28.1485564,77.3320667,NH3,8,9,9
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",14-12-2025 23:00,30.7057778,76.85318056,NO2,24,26,25
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",14-12-2025 23:00,23.243639,72.68994,CO,6,62,41
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",14-12-2025 23:00,23.221714,72.654328,PM10,50,134,85
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",14-12-2025 23:00,23.221714,72.654328,SO2,8,16,13
India,Gujarat,Surat,"Science Center, Surat - SMC",14-12-2025 23:00,21.170046,72.795405,SO2,32,46,36
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",14-12-2025 23:00,28.806223,76.141105,NH3,1,8,8
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",14-12-2025 23:00,28.2068,76.7997,PM2.5,259,500,393
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",14-12-2025 23:00,28.39072,77.30059,PM2.5,177,194,184
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",14-12-2025 23:00,28.4227,77.0667,OZONE,10,46,25
